Выписка по контракту
Период выписки:;22.02.2026-22.05.2026;
Дата выписки:;22.05.2026 22:37:24;
Адрес страницы в интернете:;https://www.example.com/bank/cards/;
Номер контракта:;........1111 Валюта контракта BYN;
Карта:;........3333 VISA INFINITE ;
ФИО:; Иванов Иван Иванович;
Адрес:;220000 г. Минск, ул. Примерная, д. 1;

Доступная сумма:;151 327,71;
Заблокировано:;166,39;
Кредитный лимит:;0,00;

Валюта счета: ;BYN;
Начальный баланс: ;100 000,00

Операции по ........1111
Дата транзакции;Операция;Сумма;Валюта;Дата операции по счету;Комиссия/Money-back;Обороты по счету;Цифровая карта;Категория операции;
28.04.2026 00:00:00;Поступление на контракт клиента 148050-96673-338968;24 674,79;BYN;28.04.2026;0,00;24 674,79;;
25.04.2026 00:00:00;Поступление на контракт клиента 452944-23396-197251;33 504,60;BYN;25.04.2026;0,00;33 504,60;;
24.04.2026 00:00:00;Поступление на контракт клиента 207473-98696-876646;4 926,85;BYN;24.04.2026;0,00;4 926,85;;
24.04.2026 00:00:00;Поступление на контракт клиента 391704-10851-895667;15 749,86;BYN;24.04.2026;0,00;15 749,86;;
20.05.2026 00:00:00;Поступление на контракт клиента 319684-97841-379946;11 850,90;BYN;20.05.2026;0,00;11 850,90;;
19.04.2026 00:00:00;Поступление на контракт клиента 865179-70217-662275;28 259,13;BYN;19.04.2026;0,00;28 259,13;;
15.04.2026 00:00:00;Поступление на контракт клиента 748564-57400-705397;29 037,69;BYN;15.04.2026;0,00;29 037,69;;
15.04.2026 00:00:00;Поступление на контракт клиента 996865-40512-205907;34 483,49;BYN;15.04.2026;0,00;34 483,49;;
14.03.2026 00:00:00;Поступление на контракт клиента 542417-14165-131244;3 088,51;BYN;14.03.2026;0,00;3 088,51;;
12.03.2026 00:00:00;Поступление на контракт клиента 781453-81426-539898;6 999,38;BYN;12.03.2026;0,00;6 999,38;;
11.05.2026 00:00:00;Поступление на контракт клиента 629903-88907-127824;7 691,40;BYN;11.05.2026;0,00;7 691,40;;
07.05.2026 00:00:00;Поступление на контракт клиента 496922-20328-678856;34 060,40;BYN;07.05.2026;0,00;34 060,40;;
04.04.2026 00:00:00;Поступление на контракт клиента 988662-55082-733052;3 430,24;BYN;04.04.2026;0,00;3 430,24;;
